LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
24m         Normal    Pulling                  pod/reporting-operator-746569cd7f-n4dfk          Pulling image "openshift/oauth-proxy:v1.1.0"
24m         Normal    Pulled                   pod/reporting-operator-746569cd7f-n4dfk          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
24m         Normal    Created                  pod/reporting-operator-746569cd7f-n4dfk          Created container reporting-operator-auth-proxy
24m         Normal    Started                  pod/reporting-operator-746569cd7f-n4dfk          Started container reporting-operator-auth-proxy
22m         Normal    Killing                  pod/reporting-operator-746569cd7f-n4dfk          Stopping container reporting-operator
22m         Normal    Killing                  pod/reporting-operator-746569cd7f-n4dfk          Stopping container reporting-operator-auth-proxy
32m         Normal    Scheduled                pod/reporting-operator-746569cd7f-rrbjn          Successfully assigned openshift-metering/reporting-operator-746569cd7f-rrbjn to ip-10-0-148-140.us-west-2.compute.internal
30m         Warning   FailedMount              pod/reporting-operator-746569cd7f-rrbjn          MountVolume.SetUp failed for volume "api-tls" : secrets "reporting-operator-api-tls-secrets" not found
32m         Normal    Pulling                  pod/reporting-operator-746569cd7f-rrbjn          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
32m         Normal    Pulled                   pod/reporting-operator-746569cd7f-rrbjn          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
32m         Normal    Created                  pod/reporting-operator-746569cd7f-rrbjn          Created container reporting-operator
32m         Normal    Started                  pod/reporting-operator-746569cd7f-rrbjn          Started container reporting-operator
32m         Normal    Pulling                  pod/reporting-operator-746569cd7f-rrbjn          Pulling image "openshift/oauth-proxy:v1.1.0"
32m         Normal    Pulled                   pod/reporting-operator-746569cd7f-rrbjn          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
31m         Normal    Created                  pod/reporting-operator-746569cd7f-rrbjn          Created container reporting-operator-auth-proxy
31m         Normal    Started                  pod/reporting-operator-746569cd7f-rrbjn          Started container reporting-operator-auth-proxy
30m         Warning   FailedMount              pod/reporting-operator-746569cd7f-rrbjn          MountVolume.SetUp failed for volume "metrics-tls" : secrets "reporting-operator-metrics-tls-secrets" not found
30m         Normal    Killing                  pod/reporting-operator-746569cd7f-rrbjn          Stopping container reporting-operator
30m         Normal    Killing                  pod/reporting-operator-746569cd7f-rrbjn          Stopping container reporting-operator-auth-proxy
29m         Normal    Scheduled                pod/reporting-operator-746569cd7f-vnc8h          Successfully assigned openshift-metering/reporting-operator-746569cd7f-vnc8h to ip-10-0-134-21.us-west-2.compute.internal
29m         Normal    Pulling                  pod/reporting-operator-746569cd7f-vnc8h          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
29m         Normal    Pulled                   pod/reporting-operator-746569cd7f-vnc8h          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
29m         Normal    Created                  pod/reporting-operator-746569cd7f-vnc8h          Created container reporting-operator
29m         Normal    Started                  pod/reporting-operator-746569cd7f-vnc8h          Started container reporting-operator
29m         Normal    Pulling                  pod/reporting-operator-746569cd7f-vnc8h          Pulling image "openshift/oauth-proxy:v1.1.0"
29m         Normal    Pulled                   pod/reporting-operator-746569cd7f-vnc8h          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
29m         Normal    Created                  pod/reporting-operator-746569cd7f-vnc8h          Created container reporting-operator-auth-proxy
29m         Normal    Started                  pod/reporting-operator-746569cd7f-vnc8h          Started container reporting-operator-auth-proxy
28m         Normal    Killing                  pod/reporting-operator-746569cd7f-vnc8h          Stopping container reporting-operator
28m         Normal    Killing                  pod/reporting-operator-746569cd7f-vnc8h          Stopping container reporting-operator-auth-proxy
28m         Warning   Unhealthy                pod/reporting-operator-746569cd7f-vnc8h          Readiness probe failed: Get https://10.128.4.28:8081/ready: dial tcp 10.128.4.28:8081: connect: connection refused
19m         Normal    Scheduled                pod/reporting-operator-746569cd7f-x45ps          Successfully assigned openshift-metering/reporting-operator-746569cd7f-x45ps to ip-10-0-134-21.us-west-2.compute.internal
19m         Normal    Pulling                  pod/reporting-operator-746569cd7f-x45ps          Pulling image "quay.io/openshift/origin-metering-reporting-operator:4.1"
19m         Normal    Pulled                   pod/reporting-operator-746569cd7f-x45ps          Successfully pulled image "quay.io/openshift/origin-metering-reporting-operator:4.1"
19m         Normal    Created                  pod/reporting-operator-746569cd7f-x45ps          Created container reporting-operator
19m         Normal    Started                  pod/reporting-operator-746569cd7f-x45ps          Started container reporting-operator
19m         Normal    Pulling                  pod/reporting-operator-746569cd7f-x45ps          Pulling image "openshift/oauth-proxy:v1.1.0"
18m         Normal    Pulled                   pod/reporting-operator-746569cd7f-x45ps          Successfully pulled image "openshift/oauth-proxy:v1.1.0"
18m         Normal    Created                  pod/reporting-operator-746569cd7f-x45ps          Created container reporting-operator-auth-proxy
18m         Normal    Started                  pod/reporting-operator-746569cd7f-x45ps          Started container reporting-operator-auth-proxy
17m         Normal    Killing                  pod/reporting-operator-746569cd7f-x45ps          Stopping container reporting-operator
LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
17m         Normal    Killing                  pod/reporting-operator-746569cd7f-x45ps          Stopping container reporting-operator-auth-proxy
41m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-dxrhv
35m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-dxrhv
34m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-bj2bp
33m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-bj2bp
32m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-rrbjn
30m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-rrbjn
29m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-vnc8h
28m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-vnc8h
27m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-6tx2z
25m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-6tx2z
24m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-n4dfk
22m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-n4dfk
21m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-4whjd
20m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-4whjd
19m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-x45ps
17m         Normal    SuccessfulDelete         replicaset/reporting-operator-746569cd7f         Deleted pod: reporting-operator-746569cd7f-x45ps
16m         Normal    SuccessfulCreate         replicaset/reporting-operator-746569cd7f         Created pod: reporting-operator-746569cd7f-gj7pd
141m        Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-5dbdd7f978-9kvg4 became leader
61m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-5dbdd7f978-b2k9g became leader
38m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-dxrhv became leader
33m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-bj2bp became leader
30m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-rrbjn became leader
28m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-vnc8h became leader
25m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-6tx2z became leader
22m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-n4dfk became leader
20m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-4whjd became leader
17m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-x45ps became leader
15m         Normal    LeaderElection           configmap/reporting-operator-leader-lease        reporting-operator-746569cd7f-gj7pd became leader
41m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
39m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-5dbdd7f978 to 0
35m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
34m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
33m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
32m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
30m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
29m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
28m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
27m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
25m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
24m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
22m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
21m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
20m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
19m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
17m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled down replica set reporting-operator-746569cd7f to 0
16m         Normal    ScalingReplicaSet        deployment/reporting-operator                    Scaled up replica set reporting-operator-746569cd7f to 1
