LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
59m         Normal    Pulled                   pod/hdfs-namenode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
59m         Normal    Created                  pod/hdfs-namenode-0                              Created container hdfs-namenode
59m         Normal    Started                  pod/hdfs-namenode-0                              Started container hdfs-namenode
41m         Normal    Killing                  pod/hdfs-namenode-0                              Stopping container hdfs-namenode
41m         Normal    Scheduled                pod/hdfs-namenode-0                              Successfully assigned openshift-metering/hdfs-namenode-0 to ip-10-0-143-52.us-west-2.compute.internal
40m         Normal    Pulling                  pod/hdfs-namenode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
40m         Normal    Pulled                   pod/hdfs-namenode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
40m         Normal    Created                  pod/hdfs-namenode-0                              Created container hdfs-namenode
40m         Normal    Started                  pod/hdfs-namenode-0                              Started container hdfs-namenode
36m         Normal    Killing                  pod/hdfs-namenode-0                              Stopping container hdfs-namenode
16m         Normal    Scheduled                pod/hdfs-namenode-0                              Successfully assigned openshift-metering/hdfs-namenode-0 to ip-10-0-134-21.us-west-2.compute.internal
16m         Normal    SuccessfulAttachVolume   pod/hdfs-namenode-0                              AttachVolume.Attach succeeded for volume "pvc-9f00f0f0-ca87-11e9-a248-0698e01dcbf2"
16m         Normal    Pulling                  pod/hdfs-namenode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
15m         Normal    Pulled                   pod/hdfs-namenode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
15m         Normal    Created                  pod/hdfs-namenode-0                              Created container hdfs-namenode
15m         Normal    Started                  pod/hdfs-namenode-0                              Started container hdfs-namenode
168m        Normal    SuccessfulCreate         statefulset/hdfs-namenode                        create Pod hdfs-namenode-0 in StatefulSet hdfs-namenode successful
150m        Normal    SuccessfulCreate         statefulset/hdfs-namenode                        create Pod hdfs-namenode-0 in StatefulSet hdfs-namenode successful
41m         Normal    SuccessfulCreate         statefulset/hdfs-namenode                        create Pod hdfs-namenode-0 in StatefulSet hdfs-namenode successful
36m         Normal    SuccessfulDelete         statefulset/hdfs-namenode                        delete Pod hdfs-namenode-0 in StatefulSet hdfs-namenode successful
16m         Normal    SuccessfulCreate         statefulset/hdfs-namenode                        create Pod hdfs-namenode-0 in StatefulSet hdfs-namenode successful
148m        Normal    Killing                  pod/hive-metastore-0                             Stopping container metastore
145m        Normal    TaintManagerEviction     pod/hive-metastore-0                             Cancelling deletion of Pod openshift-metering/hive-metastore-0
145m        Warning   FailedScheduling         pod/hive-metastore-0                             0/7 nodes are available: 2 node(s) had taints that the pod didn't tolerate, 2 node(s) were unschedulable, 3 node(s) had volume node affinity conflict.
145m        Normal    SuccessfulAttachVolume   pod/hive-metastore-0                             AttachVolume.Attach succeeded for volume "pvc-9e42450b-ca87-11e9-a248-0698e01dcbf2"
145m        Normal    Pulling                  pod/hive-metastore-0                             Pulling image "quay.io/openshift/origin-metering-hive:4.1"
144m        Normal    Pulled                   pod/hive-metastore-0                             Successfully pulled image "quay.io/openshift/origin-metering-hive:4.1"
144m        Normal    Created                  pod/hive-metastore-0                             Created container metastore
144m        Normal    Started                  pod/hive-metastore-0                             Started container metastore
80m         Normal    Killing                  pod/hive-metastore-0                             Stopping container metastore
